Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Publication Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,Mesh_Terms,Article Citation Count,Patent Citation Count,Reference Count,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier
Smart Building Platform for Energy Resource Management,B. Teixeira; G. Santos; L. Gomes; D. Araújo; Z. Vale,"LASI, GECAD, Polytechnic of Porto, Porto, Portugal; LASI, GECAD, Polytechnic of Porto, Porto, Portugal; LASI, GECAD, Polytechnic of Porto, Porto, Portugal; LASI, GECAD, Polytechnic of Porto, Porto, Portugal; LASI, GECAD, Polytechnic of Porto, Porto, Portugal",2025 IEEE Conference on Artificial Intelligence (CAI),7-Jul-25,2025,,,350,351,"This paper presents an novel platform for intelligent energy resources management in buildings, tackling the complexities of modern energy systems. By integrating advanced AI, semantic reasoning, and explainable AI, it ensures adaptive, sustainable, and user-centric optimization. Its rule-based framework and dynamic learning enhance efficiency while promoting transparency and trust. With real-time adaptability and a modular design, the platform offers a scalable solution for diverse building environments, aligning with sustainability goals and improving user comfort.",,979-8-3315-2400-5,10.1109/CAI64502.2025.00063,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11050662,Building Energy Management System;Explainable AI;Reinforcement Learning;Semantic Knowledge,Smart buildings;Explainable AI;Energy resources;Semantics;Reinforcement learning;Real-time systems;Cognition;Complexity theory;Sustainable development;Optimization,,,,5,IEEE,7-Jul-25,5-7 May 2025,5-7 May 2025,IEEE,IEEE Conferences
Multi-Agent-Based CBR Recommender System for Intelligent Energy Management in Buildings,T. Pinto; R. Faia; M. Navarro-Caceres; G. Santos; J. M. Corchado; Z. Vale,"BISITE Research Centre, Universidad de Salamanca, Salamanca, Spain; GECAD, Instituto Politecnico do Porto-Instituto Superior de Engenharia do Porto, Porto, Portugal; BISITE Research Centre, Universidad de Salamanca, Salamanca, Spain; GECAD, Instituto Politecnico do Porto-Instituto Superior de Engenharia do Porto, Porto, Portugal; BISITE Research Centre, Universidad de Salamanca, Salamanca, Spain; GECAD, Instituto Politecnico do Porto-Instituto Superior de Engenharia do Porto, Porto, Portugal",IEEE Systems Journal,22-Feb-19,2019,13,1,1084,1095,"This paper proposes a novel case-based reasoning (CBR) recommender system for intelligent energy management in buildings. The proposed approach recommends the amount of energy reduction that should be applied in a building in each moment, by learning from previous similar cases. The k-nearest neighbor clustering algorithm is applied to identify the most similar past cases, and an approach based on support vector machines is used to optimize the weight of different parameters that characterize each case. An expert system composed by a set of ad hoc rules guarantees that the solution is adequate and applicable to the new case scenario. The proposed CBR methodology is modeled through a dedicated software agent, thus enabling its integration in a multi-agent systems society for the study of energy systems. Results show that the proposed approach is able to provide suitable recommendations on energy reduction, by comparing its results with a previous approach based on particle swarm optimization and with the real reduction in past cases. The applicability of the proposed approach in real scenarios is also assessed through the application of the results provided by the proposed approach on a house energy resources management system.",1937-9234,,10.1109/JSYST.2018.2876933,"EU's H 2020 research and innovation programme; Marie Sklodowska-Curie(grant numbers:641794,703689); Federación Española de Enfermedades Raras; National Funds through FCT(grant numbers:UID/EEA/00760/2013); ",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8533391,Building energy management;case-based reasoning (CBR);energy efficiency;multi-agent systems (MAS),Buildings;Recommender systems;Energy management;Mathematical model;Support vector machines;Cognition;Expert systems,,47,,55,OAPA,13-Nov-18,19-Mar,,IEEE,IEEE Journals
Autonomous control strategy creation for building energy management,G. Zucker; S. Kollmann,"Center for Energy, AIT Austrian Institute of Technology, Vienna, Austria; TU Wien, Institute of Computer Technology, Vienna, Austria",2017 IEEE AFRICON,7-Nov-17,2017,,,461,466,"Building automation and control defines the energy efficiency of a building during its operation phase. Optimization of the underlying control strategies is still mainly done manually. By introducing a cognitive system and providing it with information on the building, its energy systems and the operation goals, this paper shows how to autonomously optimize control strategies for building energy systems. The system architecture consists of the cognitive system, an ontology and a physics simulator that allows to assess the quality of a control strategy. In this paper a first use case for optimization of a ventilation system is presented and the processes in the cognitive system that lead to the creation of control strategies are elaborated.",2153-0033,978-1-5386-2775-4,10.1109/AFRCON.2017.8095526,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8095526,building energy management;cognitive system;automation and control;energy efficiency,Buildings;Cognitive systems;Energy efficiency;Process control;Cognition;Optimization,,1,,15,IEEE,7-Nov-17,18-20 Sept. 2017,18-20 Sept. 2017,IEEE,IEEE Conferences
Knowledge management framework for monitoring systems improving building energy efficiency,M. Kadolsky; R. Windisch; R. J. Scherer,"Institute of Construction Informatics, Technische Universität Dresden, Dresden, Germany; Iproplan® Planungsgesellschaft mbH Consulting Engineers & Architects, Chemnitz, Germany; Institute of Construction Informatics, Technische Universität Dresden, Dresden, Germany","2015 IEEE Workshop on Environmental, Energy, and Structural Monitoring Systems (EESMS) Proceedings",6-Aug-15,2015,,,33,38,"In the last decades scarcity of resources and global warming have led to a more and more efficient building design and usage aimed to reduce energy consumption and CO2 emission. For increasing energy efficiency of buildings over the whole life cycle monitoring systems became an important technology. Thereby, monitoring systems are usually applied in combination with controlling systems for providing building automation of HVAC (heating, ventilation and air conditioning) components in the usage phase. In this paper an approach will be presented describing a generic framework for efficiently using of monitoring in the design phase as well as in the usage phase. Based on certain building criteria a) the selection for an efficient, best cost-benefit, HVAC system and b) the efficient filtering, evaluating and prioritizing of energy performance values like cooling/heating consumption values will be supported. This will be done by considering only a small set of energy indicators representing and covering complex building designs and usage scenarios. As description method for the building criteria an ontology approach is considered comprising and consolidating the different input sources and creating the base for deriving and identifying these criteria. Furthermore, intelligent filtering methods are proposed operating on the origin source models and filtering and aggregating the elements for mapping them to the ontology descriptions. Altogether is embedded in a knowledge management framework forming the mediator for external software like simulation or CAD software. The use of the knowledge management framework is intended for a company applying it throughout several projects and storing the gained experience in the building criteria and the related functionalities.",,978-1-4799-8215-8,10.1109/EESMS.2015.7175848,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7175848,BIM;eeBIM;Energy;Knowledge Management;Ontology;Intelligent Filtering;Building Performance Criteria,Ontologies;Monitoring;Buildings;Data models;Filtering;Knowledge management;Geometry,,1,,6,IEEE,6-Aug-15,9-10 July 2015,9-10 July 2015,IEEE,IEEE Conferences
An Approach for Energy Conservation Management Systems in Buildings,N. Ayoub; F. Musharavati; S. Pokharel; H. A. Gabbar,"Faculty of Industrial Education, Helwan University, Cairo, Egypt; Faculty of Industrial Education, Helwan University, Cairo, Egypt; Faculty of Industrial Education, Helwan University, Cairo, Egypt; Faculty of Industrial Education, Helwan University, Cairo, Egypt",2018 IEEE International Conference on Smart Energy Grid Engineering (SEGE),21-Oct-18,2018,,,9,13,"Making decisions about energy conservation options in buildings can be rather problematic as they involve several tradeoffs between project stakeholders. Furthermore, the level of details required in making a decision by building designer and project manager is different from that of building owners or investors. The former requires great details and technical knowledge that can be used to achieve desired energy conservation levels in the building. This is considered as Detailed Design Level, DDL. The later requires an abstract level of details for demonstrating the potential of different energy conservation scenarios to the clients or stakeholders in terms of cost and energy conservation levels. This is called the Client Demonstration Level, CDL. In this paper, we are proposing a two-level management system that can be used for supporting energy conservation decisions in buildings. The proposed system consists of four main parts; Energy Semantic Network, ESN, databases; a simulation and optimization module; risk- based LCA/LCC Module; and a user interface. The ESN database includes relevant data about building database, energy supply systems database, demands, and control network database. The proposed, two levels, system is a pilot system to deal with the scope difference in the problem formulation. For example, a macro-level, such as that of CDL, should present various energy conservation scenarios, their economic possessions (the scenario application costs) and their potential environmental benefits in an abstract level of details. Based on decisions made at the CDL, the designers can determine detailed design specifications that meet these decisions, such as the optimal sizing of the HVAC system, rigorous models considering the energy demand and supply control, life cycle costing optimization and environmental feasibilities and risks. A simple description of the system is presented here.",2575-2693,978-1-5386-6410-0,10.1109/SEGE.2018.8499476,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8499476,energy conservation;policy support;access;commercial;hybrid supply system,Buildings;Energy conservation;Databases;User interfaces;Optimization;Data models;Stakeholders,,1,,11,IEEE,21-Oct-18,12-15 Aug. 2018,12-15 Aug. 2018,IEEE,IEEE Conferences
Use of big data technologies for the implementation of energy-saving measures and renewable energy sources in buildings,S. Guzhov; A. Krolin,"Energy management department, NRU Moscow Power Engineering Institute, Moscow, Russian Federation; Energy management department, NRU Moscow Power Engineering Institute, Moscow, Russian Federation","2018 Renewable Energies, Power Systems & Green Inclusive Economy (REPS-GIE)",11-Oct-18,2018,,,1,5,"Currently, one of the directions of energy saving in the industrial and social sectors of the Russian economy is the introduction of technically and economically feasible energy-saving measures and renewable energy sources (RES). However, it is often impossible to substantiate the effectiveness of introducing renewable energy sources reasonably. This is due to the fact that the comparison should be conducted in conditions of identical labor and raw materials resources, climatic conditions, etc. In other words, it is necessary to compare the energy saving measures and the use of renewable energy technologies under comparable conditions, which in many cases requires the solution of a number of complex problems. Based on the analysis of existing methodological approaches to the collection, compilation and processing of large data sets, including statistical, neural network and fuzzy methods, a method for combined analysis and modeling of energy consumption processes in buildings has been developed. At the same time, a methodology was proposed for the selection of a set of measures to optimize the energy efficiency of buildings. The original model and method of choosing energy saving measures, taking into account a flexible multi-level structure, as well as various compatibility and significance of the indicators being evaluated, are proposed. The proposed visualization algorithm allows to combine on one graph economic criteria of energy-saving projects payback and energy-saving effect, which is a reflection of natural indicators of energy efficiency. This model allows to formalize the process of increasing the buildings energy efficiency, and can be useful for energy managers, who are responsible for energy flows optimization.",,978-1-5386-8515-0,10.1109/REPSGIE.2018.8488861,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8488861,big data;energy consumption;energy efficiency of buildings;regression analysis;energy saving measures;renewable energy sources;forecasting method,Buildings;Energy consumption;Energy measurement;Analytical models;Task analysis;Data models;Neural networks,,10,,10,IEEE,11-Oct-18,23-24 April 2018,23-24 April 2018,IEEE,IEEE Conferences
A Reasoning Engine Architecture for Building Energy Metadata Management,P. Kapsalis; G. Kormpakis; K. Alexakis; E. Karakolis; S. Mouzakitis; D. Askounis,"Decision Support Systems Laboratory, School of Electrical and Computer Engineering, National Technical University of Athens, Athens, Greece; Decision Support Systems Laboratory, School of Electrical and Computer Engineering, National Technical University of Athens, Athens, Greece; Decision Support Systems Laboratory, School of Electrical and Computer Engineering, National Technical University of Athens, Athens, Greece; Decision Support Systems Laboratory, School of Electrical and Computer Engineering, National Technical University of Athens, Athens, Greece; Decision Support Systems Laboratory, School of Electrical and Computer Engineering, National Technical University of Athens, Athens, Greece; Decision Support Systems Laboratory, School of Electrical and Computer Engineering, National Technical University of Athens, Athens, Greece","2022 13th International Conference on Information, Intelligence, Systems & Applications (IISA)",30-Sep-22,2022,,,1,7,"During the Buildings’ lifecycle, massive amounts of data, that contain information related to their energy consumption, are generated. Towards the creation of smart building networks, this produced information must be intercepted and harmonized according to building ontologies and schemas. The pattern recognition from building metadata is based on inferencing and intelligent querying, that can be achieved with the utilization of graph and property databases that deploy and host building information. This paper presents a Reasoning Engine Architecture implemented in the context of the H2020 project called MATRYCS that persists building semantic information. It will be leveraged to support real life applications by improving the inference operations.",,978-1-6654-6390-4,10.1109/IISA56318.2022.9904419,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9904419,Inference analytics;building metadata management;semantic enrichment;reasoning engine;energy efficiency;intelligent querying;graph knowledge database,Energy consumption;Smart buildings;Databases;Architecture;Semantics;Metadata;Ontologies,,5,,20,IEEE,30-Sep-22,18-20 July 2022,18-20 July 2022,IEEE,IEEE Conferences
Knowledge Graph-Enhanced Control and Diagnosis in Smart Building Energy Systems,H. Yin,"Department of Computing, Faculty of Computer and Mathematical Sciences, The Hong Kong Polytechnic University, Hong Kong, China",2025 3rd International Conference on Artificial Intelligence and Automation Control (AIAC),15-Jan-26,2025,,,498,502,"This paper presents a knowledge graph-driven framework for intelligent control and fault diagnosis across multi-domain energy systems in smart buildings. The framework semantically integrates heterogeneous data from electrical, HVAC, and water supply subsystems using an ontology-based knowledge graph, enabling unified modeling, real-time reasoning, and inter-system coordination. A multi-agent reinforcement learning module is developed to dynamically optimize energy control strategies, while a fault diagnosis engine combines graph neural networks and Bayesian inference for accurate and explainable anomaly detection. Experimental evaluation was conducted on 12-month operational data from three representative buildings, encompassing over 220 million sensor records. Results show that the proposed framework achieves an average energy savings of $12.5 \%$, fault diagnosis accuracy of $93.1 \%$, and end-to-end reasoning latency below 0.5 seconds. The framework demonstrates strong interpretability, scalability, and adaptability under diverse building scenarios. This work contributes a generalizable, semantic-driven architecture for future building energy management and intelligent operation.",,979-8-3315-5448-4,10.1109/AIAC68175.2025.11332243,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11332243,Knowledge Graph (KG);Smart Buildings;Intelligent Control;Fault Diagnosis;Semantic Reasoning,Fault diagnosis;Smart buildings;Accuracy;HVAC;Scalability;Knowledge graphs;Reinforcement learning;Cognition;Real-time systems;Intelligent control,,,,15,IEEE,15-Jan-26,15-17 Oct. 2025,15-17 Oct. 2025,IEEE,IEEE Conferences
Cloud-based building management systems using short-term cooling load forecasting,J. Yu; M. Bae; H. -C. Bang; S. -J. Kim,"IoT Convergence Research Department, Electronics and Telecommunications Research Institute, Daejeon, Korea; IoT Convergence Research Department, Electronics and Telecommunications Research Institute, Daejeon, Korea; IoT Convergence Research Department, Electronics and Telecommunications Research Institute, Daejeon, Korea; Dept. of Electrical and Computer Engineering, University of British Columbia, Vancouver, Canada",2013 IEEE Globecom Workshops (GC Wkshps),5-Jun-14,2013,,,896,900,"In this paper, we propose a novel cloud-based building management system (BMS) architecture for a short-term cooling load forecasting mechanism to manage the building cooling system (BCS) and reduce the cost of BCS construction and maintenance. The BCS is very important to economize on air conditioning since a huge amount of energy is consumed by the cooling system of buildings in summer time and some recent work has attempted to manage the BCS using short-term cooling load forecasting. In order to have accurate forecasts, however, excellent computing systems are necessary to predict and control the BCS based on a huge amount of past energy consumption data with rapid processing speed. Hence, in the proposed architecture, we use centralized computing resources and storages to predict and control the BCS. Furthermore, we propose a model with short-term cooling load forecasting and semantic analysis system that uses data mining techniques to improve the forecasting accuracy. Through our performance results, the proposed forecasting model outperforms another scheme in terms of the forecasting accuracy to control the BCS and it is expected that the cost of the BCS maintenance will be greatly reduced with the cloud-based BMS architecture.",2166-0077,978-1-4799-2851-4,10.1109/GLOCOMW.2013.6825103,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6825103,Cloud;Building management system;Short-term prediction;Cooling load forecasting;Data mining,Cooling;Buildings;Forecasting;Load forecasting;Indexes;Predictive models;Radiation effects,,,,13,IEEE,5-Jun-14,9-13 Dec. 2013,9-13 Dec. 2013,IEEE,IEEE Conferences
Context-aware optimization strategies for universal application in smart building energy management,D. Schachinger; W. Kastner,"Automation Systems Group, TU Wien, Institute of Computer Engineering, Vienna, Austria; Automation Systems Group, TU Wien, Institute of Computer Engineering, Vienna, Austria",2018 IEEE 16th International Conference on Industrial Informatics (INDIN),27-Sep-18,2018,,,478,483,"In building operation, the continuous forward planning of energy-efficient schedules to maintain user comfort is a challenging task. Although the design of building energy management systems is an active field of research, existing solutions are often faced with limited reusability due to specialization on certain buildings, comfort parameters, or building automation technologies. Thus, this work introduces a set of context-aware strategies that are generally applicable for the optimization in building energy management systems. For this purpose, machinereadable semantics of the building and the building automation system is exploited in order to design a heuristic approach. The aim is to reduce the optimization effort while targeting both energy efficiency and cross-domain comfort satisfaction on a building-independent level. An embedding of the proposed approach into common metaheuristics is described to provide a basis for further reuse. Finally, case studies are used for evaluation of a proof-of-concept implementation.",2378-363X,978-1-5386-4829-2,10.1109/INDIN.2018.8472000,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8472000,Building automation;context awareness;energy management;optimization;semantics;smart buildings,Optimization;Ontologies;Schedules;Semantics;Smart buildings;Energy management,,1,,20,IEEE,27-Sep-18,18-20 July 2018,18-20 July 2018,IEEE,IEEE Conferences
"Towards Multi-agent Systems in Building Automation and Control for Improved Occupant Comfort and Energy Efficiency - State of the Art, Challenges",Z. Wim; L. Timilehin; A. Kennedy,"Building services group, Technical university Eindhoven, AZ, The Netherlands; Building services group, Technical university Eindhoven, AZ, The Netherlands; Building services group, Technical university Eindhoven, AZ, The Netherlands",2013 Fourth International Conference on Intelligent Systems Design and Engineering Applications,30-Jun-14,2013,,,718,722,"The major role of buildings and building services is the provision of comfortable living and working environment for users. Currently, buildings utilize up to one-third of total global energy in carrying out its function and it has been identified as a key potential contributor to efforts to enhance security of energy supplies, reduce greenhouse emission and mitigate climate change.Towards achieving this, the use of computational intelligence and behaviour based systems in particular multi-agent systems (MAS)have been proposed for use in building comfort and energy management systems (BECMS)to achieve energy savings as well as improved user satisfaction. However its application in BECMs of large commercial buildings is still very limited. This paper provides a survey of MAS frameworks existing in literature. In addition, insight into some implementation challenges as well as discussion on integrating user behaviour which is a crucial factor pivotal to achieving both comfort and energy savings.",,978-1-4799-2792-0,10.1109/ISDEA.2013.572,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6843549,"Learning resources;""knowledge point"" labeling;resource organization;primary English",Buildings;Multi-agent systems;Control systems;Lighting;Artificial intelligence;Energy management;Computational modeling,,5,,42,IEEE,30-Jun-14,6-7 Nov. 2013,6-7 Nov. 2013,IEEE,IEEE Conferences
Generic Definition and Information Model for Hybrid Energy Storage Systems (HESS),L. R. Payonga; H. Madani; S. N. Gunasekara; M. Šipetić; F. Giordano; M. Stefan,"Department of Energy Technology, KTH Royal Institute of Technology, Stockholm, Sweden; Department of Energy Technology, KTH Royal Institute of Technology, Stockholm, Sweden; Department of Energy Technology, KTH Royal Institute of Technology, Stockholm, Sweden; Digital Resilient Cities, Austrian Institute of Technology GmbH, Vienna, Austria; Sustainable Thermal Energy Systems, Austrian Institute of Technology GmbH, Vienna, Austria; Power and Renewable Gas Systems, Austrian Institute of Technology GmbH, Vienna, Austria",2024 Open Source Modelling and Simulation of Energy Systems (OSMSES),16-Sep-24,2024,,,1,7,"This paper proposes a generic, extensible, and scalable definition of hybrid energy storage systems (HESS) and provides a corresponding information model applicable for energy management system (EMS) implementation. Given the need for flexibility in both energy supply and demand due to the energy transition, multiple energy carriers have been coupled, energy storage mediums have been leveraged, and their characteristics have been optimized. EMS are adapting to these developments, which can be facilitated by having common definitions and information models. There are at least two prevailing descriptions of HESS: one based on complementary characteristics, and another based on the constituent energy storage mediums. The proposed definition is an extension and specific application of the concept of “energy hubs” and a clarification of the multiple descriptions of HESS. On a larger scale, this work aims to facilitate the interoperability of various EMS that involve HESS and to provide a foundational resource for projects related to HESS architectures, control, and optimization. This work is a contribution to the development of an open ontology tailored for EMS applications in the context of energy communities with HESS.",,979-8-3503-8468-0,10.1109/OSMSES62085.2024.10668987,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10668987,hybrid energy storage systems;energy management systems;definitions;information models,Adaptation models;Supply and demand;Ontologies;Energy management systems;Optimization;Interoperability;Energy storage,,,,22,IEEE,16-Sep-24,3-4 Sept. 2024,3-4 Sept. 2024,IEEE,IEEE Conferences
